Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0003,NuGet package functionality is included with framework reference,Active,Mandatory,1,ROBdk97.XmlDocToMd.csproj,File,ROBdk97.XmlDocToMd.csproj,,,System.Data.DataSetExtensions 4.5.0,,,,,"System.Data.DataSetExtensions, 4.5.0  Recommendation:  Package functionality included with new framework reference"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,ROBdk97.XmlDocToMd.csproj,File,ROBdk97.XmlDocToMd.csproj,,,,,,,,Current target framework: net8.0-windows;net8.0 Recommended target framework: net8.0-windows;net8.0;net10.0--windows;net10.0
